,Skew_LRT
HSPA5,530.8544109576444
PRMT1,1.9278780687117203
PSMB4,281.50161017155267
FAU,665.8499754783811
CCND2,1366.6491834981769
MTHFD1,269.44091400473314
RPL23A,168.0827646068708
DOHH,-9.461424144903589
EIF6,332.4965560698237
RPS18,336.84249414221506
ALDOA,-41.63550750239233
RPS4X,742.5287562707329
TAF1C,90.03849358893939
ATP6V0C,329.5101614703375
PHB,221.3784558282988
RPL8,438.68473066563297
RPL31,356.8447325926977
CIAO1,100.01796410250056
RPL19,113.61081365251752
PSMG3,92.74279354610974
PGAM1,0.0151824783877145
TKT,177.9814553651717
RPS3A,638.5817049255481
UQCRC1,1.944162245336969
RPS8,534.0801732084399
HSPA9,62.07828497501674
NHP2,1.9888338901436384
NSF,250.25176523927948
EIF1AX,366.5375172446486
ANAPC11,195.3821351212015
RPL6,204.20523775102268
DTYMK,292.756054435582
TUT1,420.6447631178112
RPP21,167.35257581224744
RPLP0,509.6937677522162
HAUS4,-4.8581358748274965
RPL17,284.3234583358647
RPS16,128.75417869493742
PGK1,-25.87319406774384
RPS11,220.26383222699104
PRIM1,115.63709900162286
PTPMT1,3.123826829568543
SLMO2,
ARMC7,-0.6498927154458443
GNL3L,45.969041786365885
NAA10,551.2831094587189
SNRNP25,-116.96925427736728
ERCC2,1.2251754278389058
ORAOV1,
IMP4,8.813004149411377
PFDN2,302.9150852033315
GTF2H1,6.180283755609253
MAT2A,52.08729881746308
BUB3,406.8221683191732
SF3B5,466.88277573542814
DKC1,84.30365051249049
EXOSC6,122.20596668288177
UBL5,660.1613572338833
LUC7L3,129.25799360061993
CDK1,247.2587452615793
RPL17-C18orf32,
EEF1A1,201.5501073153241
PRMT5,187.9101199257558
PSMB5,165.58631002246534
NOL10,23.65224664947374
IMP3,172.6590885091195
MRPS18A,22.029043224053567
RANGAP1,61.96836403557006
RPS13,532.7199480118097
TOP3A,31.228189098685448
SNRPD2,309.7375701683904
SNRPF,384.8189600590176
NARFL,
LSM2,459.6210863467912
MRPS12,46.6684681747475
RPF2,13.50508689080641
RPS10,464.8792483043429
HAUS5,107.65905179522372
SMC1A,60.16727689110155
EXOSC9,7.283680079494104
NPIPB3,
MFN2,35.99903914457565
MARCH5,
POP1,3.976791517447964
POLR2L,609.7030321142315
IPO13,-1.5100403578470605
ATP5A1,
MCM7,66.88479535118331
RPUSD4,59.63673965756499
GINS2,266.06131225715154
TRMT112,303.67045380644265
RABGGTB,36.92784772335108
AK2,170.0940666894556
COASY,8.861428698549446
GOLGA6L1,
CARS,
RFC2,126.10618910895336
TRAPPC11,10.734805442345646
CCT4,170.5686522842585
MCAT,70.9879339390377
LSM12,22.89610796196564
ZPR1,129.42686847880873
